id,city,year,cultural_expenditure_budget,cultural_expenditure_final,bureau_budget,bureau_final,total_budget,bureau_scope_note,methodology,official_source_title,official_source_url,key_policies,last_verified,notes
government-2011-11,南投縣,2011,208370000,189002000,207091000,189002000,23417832000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-12,雲林縣,2011,735581000,554491000,318689000,288777000,28656424000,文化局（處）為文化觀光局（處），預決算包含觀光經費。,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-13,嘉義縣,2011,206297000,173338000,344917000,299835000,23585821000,文化局（處）為文化觀光局（處），預決算包含觀光經費。,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-14,屏東縣,2011,443821000,427604000,351557000,341401000,39904175000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-15,臺東縣,2011,263826000,225535000,244226000,213787000,15872400000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-16,花蓮縣,2011,199534000,187198000,149578000,141000000,18313362000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-17,澎湖縣,2011,263917000,248654000,207786000,196252000,9215787000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-18,基隆市,2011,180027000,167697000,150781000,143378000,18954715000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-19,新竹市,2011,367151000,337987000,286303000,263740000,18282000000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-20,嘉義市,2011,332038000,259978000,264056000,233240000,12243509000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-21,金門縣,2011,372170000,312524000,242301000,195619000,13201957000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-22,連江縣,2011,114021000,68812000,122827000,74950000,3785973000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-01,新北市,2012,3329739000,3086658000,1932864000,1780785000,157448777000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-02,臺北市,2012,8020935000,7678217000,3410558000,3305503000,186892566000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-03,桃園市,2012,677766000,598579000,348419000,314822000,62152000000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-04,臺中市,2012,2735359000,2548817000,1138891000,1047265000,110702665000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-05,臺南市,2012,1134827000,958549000,1042686000,881364000,87473087000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-06,高雄市,2012,3510416000,3080182000,2234734000,2161617000,131267016000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-07,宜蘭縣,2012,504603000,482658000,415277000,399356000,20097026000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-08,新竹縣,2012,314585000,279125000,309995000,275393000,25808925000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-09,苗栗縣,2012,832737000,700484000,799222000,670022000,33683611000,文化局（處）為文化觀光局（處），預決算包含觀光經費。,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-10,彰化縣,2012,614392000,558846000,611140000,555850000,41549226000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-11,南投縣,2012,162144000,145341000,162144000,145341000,23283285000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-12,雲林縣,2012,572200000,439736000,283928000,226065000,27741854000,文化局（處）為文化觀光局（處），預決算包含觀光經費。,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-13,嘉義縣,2012,186971000,165985000,377614000,333141000,23562703000,文化局（處）為文化觀光局（處），預決算包含觀光經費。,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-14,屏東縣,2012,484886000,462613000,301988000,289425000,34241838000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-15,臺東縣,2012,169264000,145808000,151114000,133139000,15566022000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-16,花蓮縣,2012,157023000,147826000,118685000,114282000,17703754000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-17,澎湖縣,2012,251293000,203287000,212728000,167964000,9466589000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-18,基隆市,2012,214487000,199773000,173316000,163646000,17631351000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-19,新竹市,2012,324552000,300222000,258611000,244517000,18283170000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-20,嘉義市,2012,229897000,196811000,194847000,168130000,11288377000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-21,金門縣,2012,471820000,413944000,287192000,246422000,11495343000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2012-22,連江縣,2012,121734000,112387000,106951000,70248000,3343315000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-01,新北市,2013,4003623000,3843332000,1873508000,1783587000,155416362000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-02,臺北市,2013,8999672000,8128333000,3147875000,2880315000,176954055000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-03,桃園市,2013,1083429000,993090000,530573000,504450000,62928000000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-04,臺中市,2013,2177164000,1903692000,1225785000,1089102000,119563415000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-05,臺南市,2013,1192695000,1134204000,1124080000,1073661000,83460412000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-06,高雄市,2013,2818521000,2776545000,1997545000,1969331000,126382519000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-07,宜蘭縣,2013,517652000,491361000,439974000,414265000,20633182000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-08,新竹縣,2013,269214000,227718000,264099000,223952000,25021078000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-09,苗栗縣,2013,906801000,737867000,878633000,711758000,28686778000,文化局（處）為文化觀光局（處），預決算包含觀光經費。,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-10,彰化縣,2013,685807000,597177000,682490000,593997000,41339611000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-11,南投縣,2013,191766000,184222000,191766000,184222000,24868861000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-12,雲林縣,2013,642130000,512300000,361006000,303491000,28726908000,文化局（處）為文化觀光局（處），預決算包含觀光經費。,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-13,嘉義縣,2013,169090000,142229000,353752000,314191000,24441738000,文化局（處）為文化觀光局（處），預決算包含觀光經費。,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-14,屏東縣,2013,717446000,682206000,542023000,522093000,32875388000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-15,臺東縣,2013,191476000,165853000,173226000,152342000,15257163000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-16,花蓮縣,2013,168283000,158043000,125080000,118078000,18156448000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-17,澎湖縣,2013,260196000,238421000,209921000,189487000,9947273000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-18,基隆市,2013,181683000,168669000,145129000,135981000,17111015000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-19,新竹市,2013,247773000,232235000,193495000,184501000,18064421000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-20,嘉義市,2013,232216000,209522000,197849000,183010000,11830927000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-21,金門縣,2013,504650000,438792000,387181000,334707000,12289328000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2013-22,連江縣,2013,103909000,96579000,104762000,96716000,3636159000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2014-01,新北市,2014,4940867000,4811737000,2363089000,2268816000,159508322000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2014-02,臺北市,2014,8713047000,8313465000,3926963000,3791709000,173637613000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2014-03,桃園市,2014,2360394000,2264414000,871578000,827135000,70276450000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2014-04,臺中市,2014,2571630000,2272760000,1317827000,1249223000,116515785000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2014-05,臺南市,2014,3312322000,3163948000,1841919000,1759217000,80657067000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2014-06,高雄市,2014,3411541000,3353231000,2668431000,2634391000,129972889000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2014-07,宜蘭縣,2014,1969487000,1916389000,1891748000,1822847000,20915786000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2014-08,新竹縣,2014,322353000,278077000,317238000,274597000,25622120000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
